comment_id,comment_text,author_name,author_channel_id,published_at,like_count,total_reply_count
UgxL69L8NI85rwyojH54AaABAg,"1:06:21 : Saya Kasih Logika Sederhana Yang Sering Dilakukan Manusia 

""IKUT NGENTOD BUKAN PENGENTOD. Berarti Orang Yang ZINA/NGENTOD TIDAK BISA DIPROSES HUKUM"" IYAA.

Persamaan Matematika 
Ikut Rusuh Bukan Perusuh (-)
Ikut Maling Bukan Pemaling (-)
Ikut Korupsi Bukan Koruptor (-)
Ikut mafia bukanMasuk MAFIA(-). USE FORMULA ARITMETIKA

(-×-) + (-x-) =
+ + + = + 
(+) HASILNYA :  Dalam Artian ""IKUT = TERLIBAT"" = Dilakukan Lebih Dari 2 Orang Atau Lebih.
BERARTI ""TERLIBAT = PELAKU MELAKUKAN Seperti Perusuh, Pemaling, Koruptor, Masuk/Pemain MAFIA,DLL.",@jeffM.FindMe,UCmnzydRwdf0_Lu04sC7DjIg,2025-09-15T14:51:57Z,1,0
UgwfK9LFtE003Jc2izt4AaABAg,"Apapun topiknya rakyat bersuara pasti ujung ujungnya ngejelekin Jokowi yg gw bingung knapa inews slalu ngasih pangung KPD mereka..
Sekali kali dong topiknya nazab baalawi berani ngk...
Apa mungkin inews corong media baalawi...",@mattailor7526,UC_TSFZhR0QCzPVbxJpVvrjg,2025-09-15T11:34:06Z,0,0
UgwN4soxmpNR8p2ZUO54AaABAg,"Sorry bang ferry, kak muti cantik bangeeet❤",@PickyHaez,UC8O2SFe2Ae4GJZ67qLCmVvg,2025-09-15T01:34:06Z,0,0
UgyDx86rlJFSx4bRkoB4AaABAg,Untung ibu kasih jam itu ke org yg dkt dgn sahroni coba klo ibu kasih itu ke polisi bisa hilang tu jam,@Rockysan212-r9z,UCoSMy8J8hFokRVCuWeZrh6g,2025-09-15T00:29:22Z,0,0
UgzsmuQbGSYsVhjntmZ4AaABAg,"Berharap genarasi boomer dipemerintahan pensiun semua, muak dengar cara berfikirnya",@Sllusurvive,UCjsJ1Xe7SyFLrmK9snVWO7w,2025-09-14T20:02:50Z,0,0
UgyeR-VCFi9goZmgkTt4AaABAg,Makan gizi gratis ngk mampu tapi tunjangan DPR naik terus,@BayuFadil-z7x,UCUq6z1K28x4XV0a1Eqhgjqg,2025-09-14T15:51:15Z,0,0
UgwSzSI_kzMXxGeqifd4AaABAg,"*""DEMO HARUS TERTIB, JOGET-JOGET DI DPR JUGA TERTIB""*",@sunarkonarko8835,UC7pQxy_TDDFRGu-UyjmzRbQ,2025-09-14T15:02:33Z,0,0
UgxUE3871TU221lgAap4AaABAg,"Bang peri, Irwandi rakyat mendukung",@BayuFadil-z7x,UCUq6z1K28x4XV0a1Eqhgjqg,2025-09-14T14:01:52Z,0,0
Ugz8H5YoU8hh5HD4yHp4AaABAg,Mengembalikan barang jarahan adalah hal baik tapi bukan hal yg luarbiasa. Yg luar biasa itu jika ada anak yg diajak menjarah tapi tidak mau menjarah. Supaya besok tidak ada lagi anak yg mau jadi luarbiasa dgn menjarah barang milik orang lain.,@ppsam43,UClZtQWXw37PxA3RlsIJUNoQ,2025-09-14T13:55:14Z,0,0
Ugw0w3u2In4zsCNQDBV4AaABAg,Sumpah gw bingung si Budiman ngomong gaada isinya. Dia seperti ngulur waktu terus,@andreyandwisaputra1626,UCP1nFaOj3jq7HIrpqH_CUkg,2025-09-14T11:46:12Z,0,0
